,standard,weighted,rents,span
standard,1.0,0.9900366123668694,0.9384682478546642,0.4347693799468869
weighted,0.9900366123668695,1.0,0.9354802278084747,0.399298725172653
rents,0.9384682478546643,0.9354802278084747,1.0,0.16868149609436286
span,0.43476937994688697,0.399298725172653,0.16868149609436284,0.9999999999999998
