,standard,weighted,rents,span
standard,1.0,0.9978602014733573,0.9753325862958699,0.9750602335061412
weighted,0.9978602014733573,1.0,0.9851410731923338,0.961020974265945
rents,0.9753325862958699,0.9851410731923338,1.0,0.9064941625940233
span,0.9750602335061412,0.961020974265945,0.9064941625940233,1.0
