,standard,weighted,rents,span
standard,1.0,0.9848924179423393,0.9008132834513985,0.8239510713912608
weighted,0.9848924179423395,0.9999999999999998,0.8597803375484346,0.8669353491687912
rents,0.9008132834513985,0.8597803375484345,0.9999999999999999,0.5557263864083966
span,0.8239510713912608,0.8669353491687912,0.5557263864083966,1.0
