,Method,Runtime (s),Max Congestion,Mean Congestion,Std Dev,Hotspots (>0.8),Hotspots (>0.9)
0,standard,0.013281583786010742,0.8151646447140382,0.37217834990422327,0.2897957626383602,1,0
1,weighted,0.026028871536254883,0.7587551798150824,0.3676070252110083,0.2805687783918696,0,0
2,rents,0.007159233093261719,0.6458038711309554,0.3453332152898165,0.2781801638207521,0,0
3,span,0.009578466415405273,0.8508419354838728,0.3505364993633286,0.27551154788229304,2,0
