,standard,weighted,rents,span
standard,1.0,0.998040421797507,0.974691024706223,0.9722798909111354
weighted,0.998040421797507,0.9999999999999998,0.9842701152964891,0.9582022490751327
rents,0.9746910247062229,0.9842701152964892,0.9999999999999999,0.900723833880436
span,0.9722798909111354,0.9582022490751327,0.900723833880436,1.0
