,standard,weighted,rents,span
standard,1.0,0.9968432047883484,0.961033155826157,0.6945134335746876
weighted,0.9968432047883484,1.0,0.9497489818527303,0.713039837514684
rents,0.961033155826157,0.9497489818527303,0.9999999999999998,0.5003289354387268
span,0.6945134335746876,0.713039837514684,0.5003289354387269,1.0
