,Method,Runtime (s),Max Congestion,Mean Congestion,Std Dev,Hotspots (>0.8),Hotspots (>0.9)
0,standard,0.4830183982849121,0.6,0.1799847362767822,0.15942493179340944,0,0
1,weighted,1.1667790412902832,0.6,0.1897656513576294,0.15410810485480325,0,0
2,rents,0.23874497413635254,0.6,0.12635371693958153,0.15291437349278106,0,0
3,span,0.44141364097595215,0.6,0.22252879449208587,0.14341955921823318,0,0
