,Method,Runtime (s),Max Congestion,Mean Congestion,Std Dev,Hotspots (>0.8),Hotspots (>0.9)
0,standard,0.07470583915710449,0.8162247208258184,0.4131777169116236,0.15183935180317454,1,0
1,weighted,0.15206289291381836,0.8005237785982015,0.424092295285075,0.15120905373499774,1,0
2,rents,0.029770374298095703,0.6767357516436476,0.43325216232672376,0.12976103917868265,0,0
3,span,0.06045174598693848,0.818774036910533,0.38581310442131095,0.17183484305517957,1,0
