,standard,weighted,rents,span
standard,1.0,0.9869444670845887,0.8690686858172574,0.4073386529403316
weighted,0.9869444670845887,1.0,0.8810856514666603,0.34478050777301733
rents,0.8690686858172574,0.8810856514666603,1.0,0.009781424727112187
span,0.40733865294033167,0.34478050777301733,0.0097814247271122,1.0
