,Method,Runtime (s),Max Congestion,Mean Congestion,Std Dev,Hotspots (>0.8),Hotspots (>0.9)
0,standard,2.2617385387420654,0.6,0.1663760408638394,0.10910264204015525,0,0
1,weighted,5.1356823444366455,0.6,0.171097125379073,0.11467606483140191,0,0
2,rents,0.976041316986084,0.6,0.09981169447680949,0.12664492295543253,0,0
3,span,2.2215492725372314,0.6,0.21156706716106086,0.11657476612472711,0,0
