,standard,weighted,rents,span
standard,1.0,0.9895716538592211,0.8619540037657903,0.5716384661261676
weighted,0.9895716538592211,0.9999999999999999,0.8828517244619982,0.4897434143081217
rents,0.8619540037657903,0.8828517244619982,1.0,0.14182619719046066
span,0.5716384661261676,0.4897434143081217,0.14182619719046063,1.0
