,Method,Runtime (s),Max Congestion,Mean Congestion,Std Dev,Hotspots (>0.8),Hotspots (>0.9)
0,standard,0.4388413429260254,0.6,0.12668575727327402,0.12020690365073773,0,0
1,weighted,0.9974503517150879,0.6,0.11783515264089704,0.11859055486392274,0,0
2,rents,0.16995763778686523,0.6,0.06533652268224534,0.122176277736947,0,0
3,span,0.38346076011657715,0.6,0.14450619686842653,0.13997866869926234,0,0
