,standard,weighted,rents,span
standard,0.9999999999999999,0.9108631876590391,0.58258727108733,0.38096216599026544
weighted,0.9108631876590391,0.9999999999999999,0.808868814946611,-0.006209654770820059
rents,0.58258727108733,0.808868814946611,1.0,-0.4807747076895559
span,0.38096216599026544,-0.006209654770820066,-0.4807747076895559,1.0
