,standard,weighted,rents,span
standard,1.0,0.9988274199892999,0.961379736436397,0.9820449535290156
weighted,0.9988274199892999,0.9999999999999999,0.9598220435127431,0.9836490027498553
rents,0.9613797364363968,0.9598220435127431,0.9999999999999998,0.9195845552802929
span,0.9820449535290157,0.9836490027498553,0.9195845552802929,1.0
