,standard,weighted,rents,span
standard,1.0,0.9950236884411443,0.9243102351853612,0.7488939781282402
weighted,0.9950236884411443,1.0,0.9320827606838185,0.7249088414999338
rents,0.9243102351853612,0.9320827606838185,1.0,0.4774339056147905
span,0.7488939781282402,0.7249088414999337,0.4774339056147905,1.0
